"","Sample_ID","Taxonomy","Frequency","Treatment","Spike"
"82","G2","I",0,"1000cfu","Enumeration Spike-in"
"83","G2","S",21,"1000cfu","Pathogen Spike-in"
"84","G2","T",0,"1000cfu","Enumeration Spike-in"
"85","A3","C",0,"No Spike Control","Pathogen Spike-in"
"86","A3","A",0,"No Spike Control","Enumeration Spike-in"
"87","A3","L",0,"No Spike Control","Pathogen Spike-in"
"88","A3","I",0,"No Spike Control","Enumeration Spike-in"
"89","A3","S",0,"No Spike Control","Pathogen Spike-in"
"90","A3","T",0,"No Spike Control","Enumeration Spike-in"
"91","B3","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"92","B3","A",0,"Enumeration Spike Control","Enumeration Spike-in"
"93","B3","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"94","B3","I",2,"Enumeration Spike Control","Enumeration Spike-in"
"95","B3","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"96","B3","T",10,"Enumeration Spike Control","Enumeration Spike-in"
"97","C3","C",0,"0.1cfu","Pathogen Spike-in"
"98","C3","A",0,"0.1cfu","Enumeration Spike-in"
"99","C3","L",0,"0.1cfu","Pathogen Spike-in"
"100","C3","I",0,"0.1cfu","Enumeration Spike-in"
"101","C3","S",0,"0.1cfu","Pathogen Spike-in"
"102","C3","T",5,"0.1cfu","Enumeration Spike-in"
"103","D3","C",0,"1cfu","Pathogen Spike-in"
"104","D3","A",0,"1cfu","Enumeration Spike-in"
"105","D3","L",0,"1cfu","Pathogen Spike-in"
"106","D3","I",0,"1cfu","Enumeration Spike-in"
"107","D3","S",0,"1cfu","Pathogen Spike-in"
"108","D3","T",4,"1cfu","Enumeration Spike-in"
"109","E3","C",0,"10cfu","Pathogen Spike-in"
"110","E3","A",0,"10cfu","Enumeration Spike-in"
"111","E3","L",0,"10cfu","Pathogen Spike-in"
"112","E3","I",8,"10cfu","Enumeration Spike-in"
"113","E3","S",0,"10cfu","Pathogen Spike-in"
"114","E3","T",30,"10cfu","Enumeration Spike-in"
"115","F3","C",0,"100cfu","Pathogen Spike-in"
"116","F3","A",0,"100cfu","Enumeration Spike-in"
"117","F3","L",0,"100cfu","Pathogen Spike-in"
"118","F3","I",0,"100cfu","Enumeration Spike-in"
"119","F3","S",9,"100cfu","Pathogen Spike-in"
"120","F3","T",15,"100cfu","Enumeration Spike-in"
"121","G3","C",33,"1000cfu","Pathogen Spike-in"
"122","G3","A",0,"1000cfu","Enumeration Spike-in"
"123","G3","L",7,"1000cfu","Pathogen Spike-in"
"124","G3","I",0,"1000cfu","Enumeration Spike-in"
"125","G3","S",23,"1000cfu","Pathogen Spike-in"
"126","G3","T",36,"1000cfu","Enumeration Spike-in"
"127","A4","C",0,"No Spike Control","Pathogen Spike-in"
"128","A4","A",0,"No Spike Control","Enumeration Spike-in"
"129","A4","L",0,"No Spike Control","Pathogen Spike-in"
"130","A4","I",0,"No Spike Control","Enumeration Spike-in"
"131","A4","S",0,"No Spike Control","Pathogen Spike-in"
"132","A4","T",0,"No Spike Control","Enumeration Spike-in"
"133","B4","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"134","B4","A",2,"Enumeration Spike Control","Enumeration Spike-in"
"135","B4","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"136","B4","I",0,"Enumeration Spike Control","Enumeration Spike-in"
"137","B4","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"138","B4","T",7,"Enumeration Spike Control","Enumeration Spike-in"
"139","C4","C",0,"0.1cfu","Pathogen Spike-in"
"140","C4","A",0,"0.1cfu","Enumeration Spike-in"
"141","C4","L",0,"0.1cfu","Pathogen Spike-in"
"142","C4","I",2,"0.1cfu","Enumeration Spike-in"
"143","C4","S",0,"0.1cfu","Pathogen Spike-in"
"144","C4","T",5,"0.1cfu","Enumeration Spike-in"
"145","D4","C",0,"1cfu","Pathogen Spike-in"
"146","D4","A",0,"1cfu","Enumeration Spike-in"
"147","D4","L",0,"1cfu","Pathogen Spike-in"
"148","D4","I",0,"1cfu","Enumeration Spike-in"
"149","D4","S",0,"1cfu","Pathogen Spike-in"
"150","D4","T",9,"1cfu","Enumeration Spike-in"
"151","E4","C",0,"10cfu","Pathogen Spike-in"
"152","E4","A",0,"10cfu","Enumeration Spike-in"
"153","E4","L",0,"10cfu","Pathogen Spike-in"
"154","E4","I",3,"10cfu","Enumeration Spike-in"
"155","E4","S",7,"10cfu","Pathogen Spike-in"
"156","E4","T",6,"10cfu","Enumeration Spike-in"
"157","F4","C",8,"100cfu","Pathogen Spike-in"
"158","F4","A",0,"100cfu","Enumeration Spike-in"
"159","F4","L",0,"100cfu","Pathogen Spike-in"
"160","F4","I",0,"100cfu","Enumeration Spike-in"
"161","F4","S",0,"100cfu","Pathogen Spike-in"
"162","F4","T",6,"100cfu","Enumeration Spike-in"
"163","G4","C",18,"1000cfu","Pathogen Spike-in"
"164","G4","A",0,"1000cfu","Enumeration Spike-in"
"165","G4","L",7,"1000cfu","Pathogen Spike-in"
"166","G4","I",0,"1000cfu","Enumeration Spike-in"
"167","G4","S",34,"1000cfu","Pathogen Spike-in"
"168","G4","T",10,"1000cfu","Enumeration Spike-in"
"169","A5","C",2,"No Spike Control","Pathogen Spike-in"
"170","A5","A",0,"No Spike Control","Enumeration Spike-in"
"171","A5","L",0,"No Spike Control","Pathogen Spike-in"
"172","A5","I",0,"No Spike Control","Enumeration Spike-in"
"173","A5","S",0,"No Spike Control","Pathogen Spike-in"
"174","A5","T",0,"No Spike Control","Enumeration Spike-in"
"175","B5","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"176","B5","A",0,"Enumeration Spike Control","Enumeration Spike-in"
"177","B5","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"178","B5","I",0,"Enumeration Spike Control","Enumeration Spike-in"
"179","B5","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"180","B5","T",3,"Enumeration Spike Control","Enumeration Spike-in"
"181","C5","C",0,"0.1cfu","Pathogen Spike-in"
"182","C5","A",0,"0.1cfu","Enumeration Spike-in"
"183","C5","L",0,"0.1cfu","Pathogen Spike-in"
"184","C5","I",2,"0.1cfu","Enumeration Spike-in"
"185","C5","S",0,"0.1cfu","Pathogen Spike-in"
"186","C5","T",5,"0.1cfu","Enumeration Spike-in"
"187","D5","C",0,"1cfu","Pathogen Spike-in"
"188","D5","A",0,"1cfu","Enumeration Spike-in"
"189","D5","L",0,"1cfu","Pathogen Spike-in"
"190","D5","I",0,"1cfu","Enumeration Spike-in"
"191","D5","S",0,"1cfu","Pathogen Spike-in"
"192","D5","T",8,"1cfu","Enumeration Spike-in"
"193","E5","C",0,"10cfu","Pathogen Spike-in"
"194","E5","A",0,"10cfu","Enumeration Spike-in"
"195","E5","L",0,"10cfu","Pathogen Spike-in"
"196","E5","I",2,"10cfu","Enumeration Spike-in"
"197","E5","S",8,"10cfu","Pathogen Spike-in"
"198","E5","T",14,"10cfu","Enumeration Spike-in"
"199","F5","C",0,"100cfu","Pathogen Spike-in"
"200","F5","A",0,"100cfu","Enumeration Spike-in"
"201","F5","L",3,"100cfu","Pathogen Spike-in"
"202","F5","I",0,"100cfu","Enumeration Spike-in"
"203","F5","S",0,"100cfu","Pathogen Spike-in"
"204","F5","T",5,"100cfu","Enumeration Spike-in"
"205","G5","C",27,"1000cfu","Pathogen Spike-in"
"206","G5","A",0,"1000cfu","Enumeration Spike-in"
"207","G5","L",9,"1000cfu","Pathogen Spike-in"
"208","G5","I",0,"1000cfu","Enumeration Spike-in"
"209","G5","S",18,"1000cfu","Pathogen Spike-in"
"210","G5","T",6,"1000cfu","Enumeration Spike-in"
"211","A6","C",0,"No Spike Control","Pathogen Spike-in"
"212","A6","A",0,"No Spike Control","Enumeration Spike-in"
"213","A6","L",0,"No Spike Control","Pathogen Spike-in"
"214","A6","I",0,"No Spike Control","Enumeration Spike-in"
"215","A6","S",0,"No Spike Control","Pathogen Spike-in"
"216","A6","T",0,"No Spike Control","Enumeration Spike-in"
"217","B6","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"218","B6","A",0,"Enumeration Spike Control","Enumeration Spike-in"
"219","B6","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"220","B6","I",0,"Enumeration Spike Control","Enumeration Spike-in"
"221","B6","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"222","B6","T",8,"Enumeration Spike Control","Enumeration Spike-in"
"223","C6","C",0,"0.1cfu","Pathogen Spike-in"
"224","C6","A",0,"0.1cfu","Enumeration Spike-in"
"225","C6","L",0,"0.1cfu","Pathogen Spike-in"
"226","C6","I",0,"0.1cfu","Enumeration Spike-in"
"227","C6","S",0,"0.1cfu","Pathogen Spike-in"
"228","C6","T",10,"0.1cfu","Enumeration Spike-in"
"229","D6","C",0,"1cfu","Pathogen Spike-in"
"230","D6","A",0,"1cfu","Enumeration Spike-in"
"231","D6","L",0,"1cfu","Pathogen Spike-in"
"232","D6","I",0,"1cfu","Enumeration Spike-in"
"233","D6","S",0,"1cfu","Pathogen Spike-in"
"234","D6","T",6,"1cfu","Enumeration Spike-in"
"235","E6","C",0,"10cfu","Pathogen Spike-in"
"236","E6","A",7,"10cfu","Enumeration Spike-in"
"237","E6","L",0,"10cfu","Pathogen Spike-in"
"238","E6","I",2,"10cfu","Enumeration Spike-in"
"239","E6","S",0,"10cfu","Pathogen Spike-in"
"240","E6","T",6,"10cfu","Enumeration Spike-in"
"241","F6","C",2,"100cfu","Pathogen Spike-in"
"242","F6","A",0,"100cfu","Enumeration Spike-in"
"243","F6","L",8,"100cfu","Pathogen Spike-in"
"244","F6","I",0,"100cfu","Enumeration Spike-in"
"245","F6","S",0,"100cfu","Pathogen Spike-in"
"246","F6","T",7,"100cfu","Enumeration Spike-in"
"247","G6","C",4,"1000cfu","Pathogen Spike-in"
"248","G6","A",0,"1000cfu","Enumeration Spike-in"
"249","G6","L",44,"1000cfu","Pathogen Spike-in"
"250","G6","I",0,"1000cfu","Enumeration Spike-in"
"251","G6","S",50,"1000cfu","Pathogen Spike-in"
"252","G6","T",0,"1000cfu","Enumeration Spike-in"
"253","A7","C",0,"No Spike Control","Pathogen Spike-in"
"254","A7","A",0,"No Spike Control","Enumeration Spike-in"
"255","A7","L",0,"No Spike Control","Pathogen Spike-in"
"256","A7","I",0,"No Spike Control","Enumeration Spike-in"
"257","A7","S",0,"No Spike Control","Pathogen Spike-in"
"258","A7","T",0,"No Spike Control","Enumeration Spike-in"
"259","B7","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"260","B7","A",0,"Enumeration Spike Control","Enumeration Spike-in"
"261","B7","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"262","B7","I",0,"Enumeration Spike Control","Enumeration Spike-in"
"263","B7","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"264","B7","T",0,"Enumeration Spike Control","Enumeration Spike-in"
"265","C7","C",0,"0.1cfu","Pathogen Spike-in"
"266","C7","A",0,"0.1cfu","Enumeration Spike-in"
"267","C7","L",0,"0.1cfu","Pathogen Spike-in"
"268","C7","I",0,"0.1cfu","Enumeration Spike-in"
"269","C7","S",0,"0.1cfu","Pathogen Spike-in"
"270","C7","T",6,"0.1cfu","Enumeration Spike-in"
"271","D7","C",0,"1cfu","Pathogen Spike-in"
"272","D7","A",0,"1cfu","Enumeration Spike-in"
"273","D7","L",0,"1cfu","Pathogen Spike-in"
"274","D7","I",0,"1cfu","Enumeration Spike-in"
"275","D7","S",0,"1cfu","Pathogen Spike-in"
"276","D7","T",4,"1cfu","Enumeration Spike-in"
"277","E7","C",0,"10cfu","Pathogen Spike-in"
"278","E7","A",0,"10cfu","Enumeration Spike-in"
"279","E7","L",0,"10cfu","Pathogen Spike-in"
"280","E7","I",2,"10cfu","Enumeration Spike-in"
"281","E7","S",0,"10cfu","Pathogen Spike-in"
"282","E7","T",15,"10cfu","Enumeration Spike-in"
"283","F7","C",0,"100cfu","Pathogen Spike-in"
"284","F7","A",0,"100cfu","Enumeration Spike-in"
"285","F7","L",6,"100cfu","Pathogen Spike-in"
"286","F7","I",0,"100cfu","Enumeration Spike-in"
"287","F7","S",3,"100cfu","Pathogen Spike-in"
"288","F7","T",7,"100cfu","Enumeration Spike-in"
"289","G7","C",8,"1000cfu","Pathogen Spike-in"
"290","G7","A",0,"1000cfu","Enumeration Spike-in"
"291","G7","L",49,"1000cfu","Pathogen Spike-in"
"292","G7","I",0,"1000cfu","Enumeration Spike-in"
"293","G7","S",48,"1000cfu","Pathogen Spike-in"
"294","G7","T",5,"1000cfu","Enumeration Spike-in"
"295","A8","C",0,"No Spike Control","Pathogen Spike-in"
"296","A8","A",0,"No Spike Control","Enumeration Spike-in"
"297","A8","L",0,"No Spike Control","Pathogen Spike-in"
"298","A8","I",0,"No Spike Control","Enumeration Spike-in"
"299","A8","S",0,"No Spike Control","Pathogen Spike-in"
"300","A8","T",0,"No Spike Control","Enumeration Spike-in"
"301","B8","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"302","B8","A",0,"Enumeration Spike Control","Enumeration Spike-in"
"303","B8","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"304","B8","I",0,"Enumeration Spike Control","Enumeration Spike-in"
"305","B8","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"306","B8","T",3,"Enumeration Spike Control","Enumeration Spike-in"
"307","C8","C",0,"0.1cfu","Pathogen Spike-in"
"308","C8","A",0,"0.1cfu","Enumeration Spike-in"
"309","C8","L",0,"0.1cfu","Pathogen Spike-in"
"310","C8","I",0,"0.1cfu","Enumeration Spike-in"
"311","C8","S",0,"0.1cfu","Pathogen Spike-in"
"312","C8","T",10,"0.1cfu","Enumeration Spike-in"
"313","D8","C",0,"1cfu","Pathogen Spike-in"
"314","D8","A",0,"1cfu","Enumeration Spike-in"
"315","D8","L",0,"1cfu","Pathogen Spike-in"
"316","D8","I",0,"1cfu","Enumeration Spike-in"
"317","D8","S",0,"1cfu","Pathogen Spike-in"
"318","D8","T",0,"1cfu","Enumeration Spike-in"
"319","E8","C",0,"10cfu","Pathogen Spike-in"
"320","E8","A",0,"10cfu","Enumeration Spike-in"
"321","E8","L",0,"10cfu","Pathogen Spike-in"
"322","E8","I",5,"10cfu","Enumeration Spike-in"
"323","E8","S",0,"10cfu","Pathogen Spike-in"
"324","E8","T",2,"10cfu","Enumeration Spike-in"
"325","F8","C",2,"100cfu","Pathogen Spike-in"
"326","F8","A",0,"100cfu","Enumeration Spike-in"
"327","F8","L",0,"100cfu","Pathogen Spike-in"
"328","F8","I",0,"100cfu","Enumeration Spike-in"
"329","F8","S",0,"100cfu","Pathogen Spike-in"
"330","F8","T",5,"100cfu","Enumeration Spike-in"
"331","G8","C",8,"1000cfu","Pathogen Spike-in"
"332","G8","A",0,"1000cfu","Enumeration Spike-in"
"333","G8","L",53,"1000cfu","Pathogen Spike-in"
"334","G8","I",0,"1000cfu","Enumeration Spike-in"
"335","G8","S",57,"1000cfu","Pathogen Spike-in"
"336","G8","T",0,"1000cfu","Enumeration Spike-in"
"337","A9","C",0,"No Spike Control","Pathogen Spike-in"
"338","A9","A",0,"No Spike Control","Enumeration Spike-in"
"339","A9","L",0,"No Spike Control","Pathogen Spike-in"
"340","A9","I",0,"No Spike Control","Enumeration Spike-in"
"341","A9","S",0,"No Spike Control","Pathogen Spike-in"
"342","A9","T",0,"No Spike Control","Enumeration Spike-in"
"343","B9","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"344","B9","A",0,"Enumeration Spike Control","Enumeration Spike-in"
"345","B9","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"346","B9","I",0,"Enumeration Spike Control","Enumeration Spike-in"
"347","B9","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"348","B9","T",5,"Enumeration Spike Control","Enumeration Spike-in"
"349","C9","C",0,"0.1cfu","Pathogen Spike-in"
"350","C9","A",0,"0.1cfu","Enumeration Spike-in"
"351","C9","L",0,"0.1cfu","Pathogen Spike-in"
"352","C9","I",0,"0.1cfu","Enumeration Spike-in"
"353","C9","S",7,"0.1cfu","Pathogen Spike-in"
"354","C9","T",16,"0.1cfu","Enumeration Spike-in"
"355","D9","C",0,"1cfu","Pathogen Spike-in"
"356","D9","A",0,"1cfu","Enumeration Spike-in"
"357","D9","L",0,"1cfu","Pathogen Spike-in"
"358","D9","I",0,"1cfu","Enumeration Spike-in"
"359","D9","S",0,"1cfu","Pathogen Spike-in"
"360","D9","T",9,"1cfu","Enumeration Spike-in"
"361","E9","C",0,"10cfu","Pathogen Spike-in"
"362","E9","A",0,"10cfu","Enumeration Spike-in"
"363","E9","L",0,"10cfu","Pathogen Spike-in"
"364","E9","I",0,"10cfu","Enumeration Spike-in"
"365","E9","S",0,"10cfu","Pathogen Spike-in"
"366","E9","T",12,"10cfu","Enumeration Spike-in"
"367","F9","C",0,"100cfu","Pathogen Spike-in"
"368","F9","A",0,"100cfu","Enumeration Spike-in"
"369","F9","L",11,"100cfu","Pathogen Spike-in"
"370","F9","I",0,"100cfu","Enumeration Spike-in"
"371","F9","S",0,"100cfu","Pathogen Spike-in"
"372","F9","T",16,"100cfu","Enumeration Spike-in"
"373","G9","C",6,"1000cfu","Pathogen Spike-in"
"374","G9","A",0,"1000cfu","Enumeration Spike-in"
"375","G9","L",50,"1000cfu","Pathogen Spike-in"
"376","G9","I",0,"1000cfu","Enumeration Spike-in"
"377","G9","S",34,"1000cfu","Pathogen Spike-in"
"378","G9","T",0,"1000cfu","Enumeration Spike-in"
"379","A10","C",0,"No Spike Control","Pathogen Spike-in"
"380","A10","A",0,"No Spike Control","Enumeration Spike-in"
"381","A10","L",0,"No Spike Control","Pathogen Spike-in"
"382","A10","I",0,"No Spike Control","Enumeration Spike-in"
"383","A10","S",0,"No Spike Control","Pathogen Spike-in"
"384","A10","T",0,"No Spike Control","Enumeration Spike-in"
"385","B10","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"386","B10","A",0,"Enumeration Spike Control","Enumeration Spike-in"
"387","B10","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"388","B10","I",3,"Enumeration Spike Control","Enumeration Spike-in"
"389","B10","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"390","B10","T",4,"Enumeration Spike Control","Enumeration Spike-in"
"391","C10","C",0,"0.1cfu","Pathogen Spike-in"
"392","C10","A",0,"0.1cfu","Enumeration Spike-in"
"393","C10","L",0,"0.1cfu","Pathogen Spike-in"
"394","C10","I",0,"0.1cfu","Enumeration Spike-in"
"395","C10","S",0,"0.1cfu","Pathogen Spike-in"
"396","C10","T",12,"0.1cfu","Enumeration Spike-in"
"397","D10","C",0,"1cfu","Pathogen Spike-in"
"398","D10","A",0,"1cfu","Enumeration Spike-in"
"399","D10","L",0,"1cfu","Pathogen Spike-in"
"400","D10","I",2,"1cfu","Enumeration Spike-in"
"401","D10","S",0,"1cfu","Pathogen Spike-in"
"402","D10","T",6,"1cfu","Enumeration Spike-in"
"403","E10","C",0,"10cfu","Pathogen Spike-in"
"404","E10","A",0,"10cfu","Enumeration Spike-in"
"405","E10","L",0,"10cfu","Pathogen Spike-in"
"406","E10","I",0,"10cfu","Enumeration Spike-in"
"407","E10","S",0,"10cfu","Pathogen Spike-in"
"408","E10","T",9,"10cfu","Enumeration Spike-in"
"409","F10","C",0,"100cfu","Pathogen Spike-in"
"410","F10","A",0,"100cfu","Enumeration Spike-in"
"411","F10","L",5,"100cfu","Pathogen Spike-in"
"412","F10","I",0,"100cfu","Enumeration Spike-in"
"413","F10","S",0,"100cfu","Pathogen Spike-in"
"414","F10","T",5,"100cfu","Enumeration Spike-in"
"415","G10","C",13,"1000cfu","Pathogen Spike-in"
"416","G10","A",0,"1000cfu","Enumeration Spike-in"
"417","G10","L",31,"1000cfu","Pathogen Spike-in"
"418","G10","I",0,"1000cfu","Enumeration Spike-in"
"419","G10","S",30,"1000cfu","Pathogen Spike-in"
"420","G10","T",0,"1000cfu","Enumeration Spike-in"
